Asset (On Bybit Spot but not Mudrex)
AAPLX
AEDZ
AMZNX
AZTEC
BABYDOGE
BBSOL
BEAM
BTT
CAT
CMETH
COINX
CRCLX
DAI
FIGHT
GOOGLX
HOODX
KUB
LBTC
LIT
MCDX
METAX
METH
MOG
MON
NEIROCTO
NVDAX
PENGUIN
PUMP
PYUSD
RATS
RLUSD
SATS
SENT
STETH
TSLAX
USD1
USDD
USDE
USDTB
USDY
VINU
WAVES
XAN
XUSD
ZAMA
